Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;49.37;49.37;49.37;49.37;9838;49.3697
29.11.2021;09:31:00-000;49.24;49.24;49.115;49.115;849;49.1519
29.11.2021;09:32:00-000;49.05;49.08;49.01;49.08;1131;49.0438
29.11.2021;09:33:00-000;49.16;49.17;49.12;49.12;2420;49.1347
29.11.2021;09:34:00-000;49.08;49.15;49.06;49.15;3261;49.1136
29.11.2021;09:35:00-000;49.14;49.14;49.13;49.13;1267;49.133
29.11.2021;09:36:00-000;49.14;49.14;49.14;49.14;114;49.1331
29.11.2021;09:37:00-000;49.06;49.08;49.06;49.07;985;49.0794
29.11.2021;09:38:00-000;49.061;49.061;49.061;49.061;227;49.0696
29.11.2021;09:39:00-000;49.075;49.075;49.075;49.075;273;49.0687
29.11.2021;09:40:00-000;49.13;49.16;49.09;49.16;8317;49.1207
29.11.2021;09:41:00-000;49.17;49.19;49.15;49.1587;3263;49.1637
29.11.2021;09:42:00-000;49.19;49.2199;49.19;49.2199;808;49.2037
29.11.2021;09:43:00-000;49.21;49.27;49.21;49.25;1003;49.2507
29.11.2021;09:44:00-000;49.26;49.273;49.25;49.273;1083;49.2592
29.11.2021;09:45:00-000;49.26;49.3;49.21;49.23;3893;49.2619
29.11.2021;09:46:00-000;49.23;49.26;49.21;49.24;3106;49.2326
29.11.2021;09:47:00-000;49.23;49.285;49.23;49.28;1379;49.264
29.11.2021;09:48:00-000;49.275;49.29;49.25;49.27;2975;49.2734
29.11.2021;09:49:00-000;49.27;49.275;49.22;49.23;2707;49.2419
29.11.2021;09:50:00-000;49.23;49.25;49.21;49.24;2087;49.2316
29.11.2021;09:51:00-000;49.22;49.235;49.2;49.2;1440;49.2182
29.11.2021;09:52:00-000;49.21;49.235;49.205;49.22;2802;49.2191
29.11.2021;09:53:00-000;49.21;49.24;49.2;49.235;2101;49.2148
29.11.2021;09:54:00-000;49.235;49.24;49.185;49.195;1722;49.2187
29.11.2021;09:55:00-000;49.2;49.235;49.17;49.23;3010;49.1929
29.11.2021;09:56:00-000;49.26;49.29;49.25;49.25;5063;49.2716
29.11.2021;09:57:00-000;49.24;49.26;49.24;49.26;3131;49.248
29.11.2021;09:58:00-000;49.265;49.265;49.25;49.26;1300;49.2596
29.11.2021;09:59:00-000;49.26;49.27;49.24;49.25;3209;49.2481
29.11.2021;10:00:00-000;49.25;49.29;49.23;49.29;1085;49.2608
29.11.2021;10:01:00-000;49.3;49.3011;49.29;49.3011;455;49.297
29.11.2021;10:02:00-000;49.31;49.31;49.31;49.31;690;49.3099
29.11.2021;10:03:00-000;49.3;49.3;49.3;49.3;470;49.3032
29.11.2021;10:04:00-000;49.34;49.3699;49.34;49.34;1483;49.3583
29.11.2021;10:05:00-000;49.33;49.39;49.33;49.39;1133;49.3419
29.11.2021;10:06:00-000;49.38;49.38;49.37;49.37;1749;49.3784
29.11.2021;10:07:00-000;49.37;49.41;49.37;49.41;2293;49.3848
29.11.2021;10:08:00-000;49.41;49.41;49.38;49.39;1336;49.3941
29.11.2021;10:09:00-000;49.39;49.42;49.39;49.42;813;49.4145
29.11.2021;10:10:00-000;49.43;49.43;49.395;49.4;1657;49.4152
29.11.2021;10:11:00-000;49.385;49.385;49.35;49.36;1457;49.3614
29.11.2021;10:12:00-000;49.36;49.365;49.35;49.36;729;49.3577
29.11.2021;10:13:00-000;49.35;49.35;49.34;49.35;1314;49.3479
