Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:40:00-000;11.3;11.325;11.285;11.285;4682;11.2966
29.11.2021;09:41:00-000;11.29;11.29;11.235;11.24;14297;11.2734
29.11.2021;09:42:00-000;11.24;11.275;11.225;11.23;16193;11.2549
29.11.2021;09:43:00-000;11.22;11.23;11.21;11.225;5117;11.2177
29.11.2021;09:44:00-000;11.23;11.26;11.23;11.24;3493;11.2476
29.11.2021;09:45:00-000;11.245;11.26;11.22;11.245;5756;11.2398
29.11.2021;09:46:00-000;11.245;11.2699;11.245;11.2699;1551;11.2578
29.11.2021;09:47:00-000;11.27;11.29;11.27;11.285;10678;11.2832
29.11.2021;09:48:00-000;11.27;11.27;11.24;11.25;4164;11.2505
29.11.2021;09:49:00-000;11.27;11.27;11.25;11.25;4105;11.2584
29.11.2021;09:50:00-000;11.24;11.25;11.22;11.23;8448;11.2322
29.11.2021;09:51:00-000;11.24;11.27;11.24;11.25;3193;11.258
29.11.2021;09:52:00-000;11.245;11.26;11.23;11.24;13364;11.2487
29.11.2021;09:53:00-000;11.23;11.265;11.23;11.265;4833;11.247
29.11.2021;09:54:00-000;11.27;11.2792;11.245;11.265;5970;11.2625
29.11.2021;09:55:00-000;11.27;11.285;11.255;11.28;8426;11.2649
29.11.2021;09:56:00-000;11.28;11.285;11.26;11.265;5217;11.2727
29.11.2021;09:57:00-000;11.265;11.28;11.265;11.28;6513;11.2696
29.11.2021;09:58:00-000;11.27;11.275;11.26;11.275;3429;11.2656
29.11.2021;09:59:00-000;11.285;11.3;11.265;11.265;4201;11.2864
29.11.2021;10:00:00-000;11.265;11.3;11.265;11.29;9448;11.2796
29.11.2021;10:01:00-000;11.29;11.305;11.29;11.3;6090;11.2935
29.11.2021;10:02:00-000;11.3;11.32;11.3;11.31;7063;11.3133
29.11.2021;10:03:00-000;11.305;11.32;11.295;11.32;14795;11.3073
29.11.2021;10:04:00-000;11.305;11.315;11.3;11.31;21137;11.3083
29.11.2021;10:05:00-000;11.305;11.34;11.305;11.33;9227;11.3218
29.11.2021;10:06:00-000;11.325;11.33;11.31;11.32;4013;11.3256
29.11.2021;10:07:00-000;11.31;11.325;11.31;11.315;4034;11.3178
29.11.2021;10:08:00-000;11.31;11.315;11.3;11.31;16407;11.309
29.11.2021;10:09:00-000;11.31;11.32;11.31;11.31;1224;11.3134
29.11.2021;10:10:00-000;11.315;11.335;11.315;11.33;7750;11.3269
29.11.2021;10:11:00-000;11.315;11.32;11.3;11.31;37534;11.3072
29.11.2021;10:12:00-000;11.31;11.32;11.3;11.31;10040;11.3105
29.11.2021;10:13:00-000;11.31;11.315;11.305;11.31;8483;11.3099
29.11.2021;10:14:00-000;11.31;11.32;11.305;11.32;5676;11.3126
29.11.2021;10:15:00-000;11.3;11.31;11.29;11.305;4897;11.3004
29.11.2021;10:16:00-000;11.3;11.3;11.28;11.28;3232;11.2866
29.11.2021;10:17:00-000;11.275;11.29;11.275;11.29;4626;11.2843
29.11.2021;10:18:00-000;11.305;11.32;11.305;11.32;4442;11.3126
29.11.2021;10:19:00-000;11.325;11.335;11.31;11.315;23493;11.3146
29.11.2021;10:20:00-000;11.32;11.33;11.31;11.31;4205;11.3206
29.11.2021;10:21:00-000;11.31;11.32;11.31;11.31;2747;11.3127
29.11.2021;10:22:00-000;11.305;11.31;11.29;11.295;7031;11.2991
29.11.2021;10:23:00-000;11.295;11.295;11.29;11.29;334;11.2935
