Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:34:00-000;272;272;272;272;454;271.994
29.11.2021;08:02:00-000;272.76;272.76;272.76;272.76;105;272.728
29.11.2021;09:25:00-000;272;272;272;272;300;272
29.11.2021;09:29:00-000;272;272;270.72;270.72;994;271.58
29.11.2021;09:30:00-000;271.29;272.06;271.01;271.462;31338;271.341
29.11.2021;09:31:00-000;271.94;272.21;271.31;271.515;10759;271.699
29.11.2021;09:32:00-000;271.48;271.5;271.11;271.485;2358;271.391
29.11.2021;09:33:00-000;271.79;271.82;270.96;270.96;4200;271.404
29.11.2021;09:34:00-000;270.6;271.195;270.34;270.71;8981;270.695
29.11.2021;09:35:00-000;270.6;271.5;270.17;270.94;17034;270.776
29.11.2021;09:36:00-000;271.4;271.7;271.06;271.43;5057;271.41
29.11.2021;09:37:00-000;271.63;272.16;271.37;271.39;4662;271.756
29.11.2021;09:38:00-000;271.12;271.78;271.11;271.517;8770;271.49
29.11.2021;09:39:00-000;271.34;271.5;270.695;270.79;2898;271.108
29.11.2021;09:40:00-000;270.87;271.2;270.5;271.05;7025;270.824
29.11.2021;09:41:00-000;270.98;271.225;270.47;270.59;2683;270.772
29.11.2021;09:42:00-000;270.9;270.97;270.54;270.54;3829;270.75
29.11.2021;09:43:00-000;270.62;270.84;270.119;270.16;5366;270.46
29.11.2021;09:44:00-000;270.105;270.24;269.85;270;4447;270.06
29.11.2021;09:45:00-000;270.14;270.15;268.418;269.36;6647;269.375
29.11.2021;09:46:00-000;268.58;269;268.2;269;3955;268.606
29.11.2021;09:47:00-000;269.49;270.42;269.49;269.82;3467;269.996
29.11.2021;09:48:00-000;269.83;270.609;269.83;270.27;1543;270.318
29.11.2021;09:49:00-000;270.18;270.18;269.66;269.91;1900;269.973
29.11.2021;09:50:00-000;269.23;269.515;269.11;269.11;1065;269.372
29.11.2021;09:51:00-000;269.34;270.01;269.16;269.47;2361;269.513
